		Frost Daedra					file FT2T.xls			Frost Daedra Talk		
	FT2A81	Sobre o Cacador Egahirn tomar a sexta chave, apesar de ser contra a lei?	FT2A8A	TRUE			Sei que e dificil de acreditar que ate a FIRE Daedra possa ser estupida o suficiente para divulgar todos esses segredos. Mas viste o que aconteceu em "Shade Perilous". - Nao. - Desculpa. - Desculpa. Nao quis esfregar. E nao foi culpa tua, afinal. - Nao. - Meu Deus. Como o tempo voa. Tenho de ir. - Ate logo. - Esta bem.	END		&Egahirn		
												
	FT2A91	Somos os Caes Menores. Arrastamos a terra para expulsar a Lebre, de acordo com as leis da caca selvagem. Enquanto aqueles idiotas da Daedra do Fogo tornam-se os Grandes Caes. - Nao. Faz-me tao louca que me posso rebentar!	FT2A9A	TRUE			- Nao, nao. - Nao, nao. Voces sao tao burros! - Nao, nao.	END	MonsterAttack	&FrostMad		
			FT2A9B	TRUE			Nao e assim que se faz? Alguns tipos fazem todo o trabalho e outros roubam o credito? Estou tao doente que me vou vomitar.	FT2A01				
	FT2A01	Seriamos muito melhores caes do que a Daedra do Fogo Maldito, mas eles tem um status maior com Mehrunes Dagon agora. Harumph! Nao e propriamente legal! Nao e legal que nos, a Frost Daedra, paguemos o preco sozinhos! Nao e legal que o nosso mestre Xivilai Moath tenha de perder o seu status por causa do cerco fracassado da Sombra Perigosa! Faydra Shardai deu as ordens, e nos somos punidos por as executar! Agora os Daedra de Fogo tornam-se os Chase, e nos somos apenas os Drag! Oh, a INJUSTICAO!	FT2A0A	TRUE			Isso e horrivel! Que injustica! Que ilegal! Extra duplo super ilegal.	FT2B11		&Tattle		
			FT2A0B	TRUE			Para uma entidade sobrenatural tao poderosa, es mesmo um grande chorao.	END	MonsterAttack	&FrostMad		
	FT2B11	- Sim, sim! - Sim, sim! Compreendes! Sabes que isto nao e legal! A Daedra de Fogo deve ser a Drag, assim como nos! Eles tambem devem ser punidos, e nao so nos!	FT2B1A	TRUE			P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P-P- Sei que tens um negocio duro, mas tens de ser tao infantil? Porque nao vais dar uma sova a alguns Daedra de Fogo?	FT2B51				
			FT2B1B	TRUE			Tens toda a razao! - E ilegal! E ilegal. Aqueles corruptos Daedra de Fogo deviam ser mais castigados! Afinal, eles fizeram o plano!	FT2B21				
	FT2B21	- Sim, sim! A culpa e deles! Sabes que e culpa deles! - Tu estavas la! Viste-o!	FT2B2A	TRUE			- Sim, e. Eu sei e tu tambem. E pena que o Dagon nao saiba.	FT2B31				
			FT2B2B	TRUE			Por todos os deuses e poderes, eu estava la. Eu vi. Era obvio ate para um mortal humilde. Aqueles Daedra de Fogo fizeram uma confusao total de tudo.	FT2B31				
	FT2B31	Mortal! Tens de dizer o que sabes!	FT2B3A	TRUE			- Para quem?	FT2B61				
			FT2B3B	TRUE			Como se eu te ajudasse? Caso nao tenhas reparado, estou a ser perseguido aqui! - Olha. Tenho coisas melhores para fazer. - Adeus. - Adeus.	END				
	FT2B51	Louco humano! Isso seria ilegal. Para cair uns sobre os outros como animais? No meio da caca sagrada? Nao tens vergonha?	FT2B5A	TRUE			- Desculpa. - Desculpa. Tens razao, claro. O que e que eu poderia estar a pensar? Mas nao te queima o cu que os Daedra de Fogo estao sobre ti na caca, e que es punido pelas FALAS DESSOS?	FT2B21				
	FT2B61	Diz o que sabes a frente do Sedutor Negro. Isso enviara os factos directamente para Dagon, pois ela e a espia do Dagon nos reinos de... Tens de esquecer o que eu disse! Tenho de te matar agora!	FT2B6A	TRUE			Espera, buckaroo. Nao me interessa se sao demonios do abismo. Nao posso ficar de bracos cruzados a ver uma injustica tao ilegal. Ate para voces, lamentaveis choroes. - Entao? Guarda as tuas explosoes geladas para ti por um bocado, e eu vou contar ao Sedutor Negro o que sei. - Nao.	FT2B71				
			FT2B6B	TRUE			- Nao me importo. Prefiro suportar a tua furia majestosa do que o teu lamentavel choramido.	END	MonsterAttack	&FrostMad		
	FT2B71	- Consegues? - Vais? Obrigado, Manling. Es uma criatura de honra legal.	FT2B7A	TRUE			Mas primeiro, vais dizer-me as regras desta maldita caca. E so legal, nao e?	FT2B81				
			FT2B7B	TRUE			- Sim, e verdade. Mas preciso de saber as regras desta maldita caca se quero sobreviver.	FT2B81				
			FT2B7C	TRUE			Nao, nao. So a dar uma meada na tua cadeia pateticamente curta.	END	MonsterAttack	&FrostMad		
			FT2B7D	TRUE			Nao fales disso. Ate logo.	END	Command FT_13			
	FT2B81	- Nao. - Nao, nao. - Claro que sim. E muito legal. De acordo com a lei, a caca e colocada perto das pedras antigas e diante da capela da pedreira inocente. E a Mestre da Caca, a mulher alada desagradavel com as grandes... sabes... coisas flacidas... asas! - Pela lei, ela deve dizer a Lebre as regras.	FT2B8A	TRUE			- Entao? Estes Cacadores? Nao e perigoso isto da Caca Selvagem?	FT2B91				
	FT2B91	Nao, mortal. So os caes podem ser feridos na caca. A Lei da Caca protege os Cacadores e os Mestres da Caca de todas as armas mortais. E a lei.	FT2B9A	TRUE			E super legal, tenho a certeza. Nao podiam ser picados acidentalmente com aquelas lancas estranhas que carregam?	FT2B01				
	FT2B01	- Nao. - Nao, nao. Acho que sim. - Talvez. - Nao. - Sim, e verdade. Nao, nao.	FT2B0A	TRUE			Acho que isso cobre todos os casos muito bem. - Obrigado. - Obrigado. E mais uma coisa. Gostaria de ver os triunfos arquitetonicos da Capela da Pedreira Inocente. - Nao, nao. Nao venha ca todos os dias. Sabes como entrar?	FT2C11				
	FT2C11	Nao sabemos! O grande Sigil bloqueia a porta e nao podemos entrar. So os caes e os cacadores sao permitidos na capela da pedreira inocente. E tao injusto que estejamos fechados fora da Capela! - E ilegal!	FT2C1A	TRUE			- Sim, sim. - Nao. Como disse, cerca de mil milhoes de vezes, e ilegal. - Nao, nao. Uma conversa agradavel. Agora, acho que devemos voltar a perseguir e dar cabo uns dos outros. - Pronto? - Sim. Vamos, vamos.	END				
												
	FT2C21	O gigante de gelo olha para ti com desprezo penetrante e ignora a tua tentativa de falar com ele.	FT2C2A	TRUE				END				
	FT2C31	Ele olha desconfiado, mas nao se inclina a falar.	FT2C3A	TRUE				END				
	FT2C41	Ele vos olha com odio e ameaca.	Ft2C4A	TRUE				END				
