		Clarentavious Valisious					file cv1T.xls	ClarentaviousTALK	old mad wizard			
	CV1B11	Agora ja ves. Sao demasiado fortes e a Galaia Estrela so nos entrega entre inimigos mais poderosos. E as engrenagens? - Desapareceu. Perdido. Dispersos nas maos do Inimigo. Nao importa. Faca a sua paz com as Grandes Potencias e corta a ultima ancora. A esperanca esta perdida. Tudo o que resta e uma morte honrosa.	CV1B1A	TRUE			- Nao. Voce tem pouca ideia com quem esta falando. Porque recentemente ganhei o 2o lugar na competicao Imperial de Artes Marciais.	CV1B21				
			CV1B1B	TRUE			Bem, a idade traz sabedoria, dizem eles. Como queiras. Tenho outros peixes para fritar.	END		&Dismissed2		
			CV1B1C	TRUE			Considere, velho pai. Talvez tenha uma hipotese contra estes demonios se me emprestares o TYPOS SOPHIA!	CV1B31				
	CV1B21	Segundo lugar? - Oh, bom. - Esta bem. - Esta bem. Isso e muito encorajador. - Agora mesmo. - Por favor, nao. Solta a ultima ancora e podemos acabar com esta tragedia com dignidade estoica.	CV1B2A	TRUE			Estou farto da tua disposicao ensolarada. Vai tu mesmo levantar a ancora, velhote. Tenho alguns valentes servos do Imperador para vingar.	END		&Dismissed2		
			CV1B2B	TRUE			Considere, velho pai. Talvez tenha uma hipotese contra estes demonios se me emprestares o TYPOS SOPHIA!	CV1B31				
	CV1B31	Deves estar louco! Aquele Methats! Ele estara na minha Mente! A levar a minha alma atraves do tormento! - A chupar-me a secar! Ele vai descascar-me a pele dos ossos!	CV1B3A	TRUE			Esta bem, esta bem. - Nao, nao. Eu vou ficar bem sem ele. - Adeus. - Adeus.	END		&Dismissed2		
			CV1B3B	TRUE			- Olha. E se eu fizesse Methats por ti? Atirou-o para o esquecimento, ou para os Treze Infernos, ou para onde quer que a Daedra va quando voce bateu os espiritos deles fora do tempo e do espaco?	CV1B41				
	CV1B41	Es inestimavel! Que ingenuo! - Sim, e verdade. Tirem os Methats do mundo e eu dou-vos o Typos Sophia! - Claro que sim. - Porque? - Nao. Enquanto estiveres a falar, traz-me o seu lenco direito, onde ele usa o seu selo, como prova da tua acao. E melhor pegar nos selos dos Treze Patroes e dos Oito Poderes. - Nao, nao. - Nao, nao.	CV1B4A	TRUE			- E melhor assim. - Acalma-te. Nao e preciso ser sombrio. Eu ja volto com o carrinho. - Adeus. - Adeus.	END		&Dismissed2		
			CV1B4B	&Pauldron			Como assim, este lenco aqui?	CV1B51				
	CV1B51	Pelos Poderes! Voce me surpreende! - Muito bem. - Esta bem. Tome o tipo Sophia. Que vos sirva de muito nas faculdades. Mas vais ver. Sim, veras em breve. Estas criaturas que veem aqui sao apenas filhotes comparados com os seus donos. Enquanto pendurares para sempre num buraco de horrores, desejaras ter seguido o meu conselho e morrido gloriosamente comigo nas ruinas de Battlespire.	CV1B5A	TRUE			Olha, velho. Esconde-te aqui no armario se tiveres de o fazer, mas nao te mates e nao deixes o Battlespire afastar-se para o fim dos tempos. Alguem tem de ficar aqui e informar as legioes. Entao, aperta. - Ate logo. - Esta bem.	END	Put 13_1010	&ClarenDone		
	CV1B61	- O que e agora? Ja percebeste o que e o bom senso? Estas pronto para por fim a isso? Ou talvez tenha o "Pauldron e Seal" do Methats? - Nao, nao. - Nao.	CV1B6A	TRUE			Vejo que nao vou conseguir mais sentido de ti ate o ter. Adeus por agora.	END				
			CV1B6B	&Pauldron			Como assim, este lenco aqui?	CV1B51				
	CV1B71	Parece ter-se retirado para dentro de si e nao falara com ninguem por algum tempo.		TRUE				END				
