		Deyanira Katrece					file DK1T.xls			Katrece Talk		
	DK1B31	Only the greatest of shocks can do that. A loss greater than the shame of the pillage of the Shade Perilous.	DK1B3A	TRUE			Well, what else does she care about?	DK1B41				
	DK1B41	I know her better than any, and I do not know any such thing.	DK1B4A	TRUE			Perhaps -- she does care about you, yes?	DK1B51				
	DK1B51	I told you. I know not.	DK1B5A	TRUE			Your Mistress MUST hold your welfare high above lesser cares.	DK1B61				
	DK1B61	Perhaps you are right. But nothing short of casting myself into Oblivion could shock her from the refuge of her bittersweet melancholia. 	DK1B6A	TRUE			Well, then, that's settled. You must cast yourself into Oblivion. What can I do to help?	DK1B81				
			DK1B6B	TRUE			Hmm. Is there anything less -- drastic you could try?	DK1B71				
	DK1B71	No. You are keen-sighted, mortal. I MUST leap into the darkness for her. Seek my Mistress. Tell her that should she not return to rule her realm, I will have no safe return from Oblivion, and remind her of her oaths and obligations. So honorable a Mistress would never be foresworn of her vows.	DK1B7A	TRUE			Can I help?	DK1B81				
	DK1B81	I implore you. You must do the deed. Take this Soul Dagger. If you strike true, you shall loosen my spirit, and darkness will swallow me. Into the Dagger I shall pour my hope and longings, which you must bear as a token to my Mistress, that she will know what I have done for her.	DK1B8A	TRUE			I am sorry for this, but I praise you for your courage and loyalty. May I be so faithful to my oaths and obligations when the time comes. Here. Give me the Dagger, and show me where to strike.	DK1B01				
			DK1B8B	TRUE			Are you sure about this?	DK1B91				
			DK1B8C	TRUE			Let's not be too hasty. Wait here, and if I find no alternative, I shall return.	END		&PCReturn		
	DK1B91	I can. I must. The realm must endure. And for the realm to endure I must make this sacrifice. I thank you for your care, but you do me a kindness. Raise this Dagger up against me and smite me with all thy arm and heart. Linger not. I do not fear, for I sense honor in your heart. And perhaps a touch of love.	DK1B9A	TRUE			I am heartily sorry for this.	DK1B01	Put 0_4012			
	DK1B01	Raise this Dagger up against me and smite me with all thy arm and heart. Linger not. I do not fear, for I sense honor in your heart. And perhaps a touch of love.	DK1B0A	TRUE			I strike, and bless you. Farewell, and fair return, most fair of the Daedra.	END	Teleport_0	&SoulDagger		
			DK1B0B	TRUE			I cannot. Forgive me. Let me think.	END		&PCReturn		
