Id	Id(hex)	Offset	Text
112	0x70	0x11e9	b'Armas de haste longa feitas de madeira ou metal com pontas perfurantes, mais curtas que lancas e projetadas para serem arremessadas. Requer habilidade com Projetil.'
113	0x71	0x1271	b'NENHUM!'
114	0x72	0x1277	b'Uma arma contundente de haste longa. Requer habilidade com Arma de Contusao.'
115	0x73	0x12b7	b'Arma de haste longa com ponta perfurante, lancas nao podem ser arremessadas. Requer habilidade com Lamina Longa.'
116	0x74	0x1316	b'Preparacao alquimica que fornece um unico uso de uma magia que afeta apenas o conjurador.'
117	0x75	0x136a	b'Recipiente de tecido leve para guardar e transportar itens.'
118	0x76	0x13a1	b'Recipiente grande de madeira para guardar e transportar itens'
119	0x77	0x13d7	b'Recipiente pequeno de madeira para guardar e transportar itens'
120	0x78	0x140d	b'Varias calcas, tunicas, capas e outras vestimentas adequadas para herois picarescos.'
121	0x79	0x145f	b'Pedra preciosa com poder excepcional para armazenar e produzir encantamentos e efeitos magicos.'
122	0x7a	0x14ba	b'Nenhum!'
123	0x7b	0x14c0	b'Um projetil disparado de um arco ou besta que possui uma haste fina, uma ponta afiada e penas na rabeira.'
124	0x7c	0x1529	b'Um dispositivo encantado que produz iluminacao modesta por um periodo indefinido. Equipamento padrao para heroicos exploradores subterraneos.'
125	0x7d	0x15a6	b'Armadura para proteger a cabeca.'
126	0x7e	0x15c1	b'Armadura para proteger o corpo.'
127	0x7f	0x15dc	b'Armadura para proteger ombros e bracos.'
128	0x80	0x1601	b'Armadura para proteger a virilha e as pernas superiores.'
129	0x81	0x1628	b'Armadura para proteger a parte inferior das pernas e os pes.'
130	0x82	0x164e	b'Armadura para proteger as maos.'
200	0xc8	0x1666	b'Fim das Descricoes dos Itens'
201	0xc9	0x167c	b'DESCRICOES DAS MAGIAS'
202	0xca	0x168f	b'Invoca um monstro aleatorio para atacar uma criatura que nao seja o invocador ou sua equipe.'
203	0xcb	0x16e2	b'Detecta magias de acao retardada ou magias disparadas dentro do alcance do conjurador.'
204	0xcc	0x1728	b'Aponta para a criatura ou monstro mais proximo que nao seja da equipe do conjurador.'
205	0xcd	0x176c	b'Permite ao conjurador ver todas as criaturas invisiveis.'
206	0xce	0x179e	b'Rende o conjurador completamente invisivel. Dura por um determinado periodo ou ate que o conjurador seja atingido.'
207	0xcf	0x17fc	b'SEM MAGIA'
208	0xd0	0x1805	b'SEM MAGIA'
209	0xd1	0x180e	b'O conjurador cai a uma velocidade lenta e segura e nao sofre danos de quedas. Dura por um determinado periodo.'
210	0xd2	0x186b	b'Inflige danos ao alvo ate que a magia expire ou Dissipar Magia remova o efeito da magia.'
211	0xd3	0x18c3	b'Inflige danos por veneno ao alvo ate que a magia expire ou Curar Veneno remova o efeito da magia.'
212	0xd4	0x1921	b'Causa alteracoes periodicas e aleatorias nos movimentos e acoes de combate.'
213	0xd5	0x1964	b'Drena Atributos ou Pontos de Vida de um alvo e os transfere para o conjurador.'
214	0xd6	0x19b2	b'Cria uma "mina" invisivel ativada por e causando danos a criaturas que passam pela area.'
215	0xd7	0x1a10	b'O conjurador pode dissipar uma magia de uma lista de todas as magias no conjurador e nas proximidades imediatas.'
216	0xd8	0x1a6b	b'As magias no personagem podem: 1. atingir normalmente, 2. refletir de volta, ou 3. refletir em uma direcao aleatoria.'
217	0xd9	0x1ad1	b'O conjurador tem a chance de resistir a qualquer magia, alem de sua resistencia normal contra magia.'
218	0xda	0x1b28	b'O conjurador tem a chance de absorver pontos de magia de uma magia recebida, evitando seus efeitos.'
219	0xdb	0x1b7e	b'Permite que o conjurador golpeie e cause dano a um alvo de perto ou a longa distancia.'
220	0xdc	0x1bc2	b'A aura de fogo ao redor do conjurador inflige o dobro do dano sofrido pelo conjurador ao atacante.'
221	0xdd	0x1c1b	b'Cura qualquer veneno no corpo do conjurador e restaura todos os atributos afetados pelo veneno.'
222	0xde	0x1c6d	b'Cura uma certa quantidade de pontos de vida.'
223	0xdf	0x1c93	b'Permite ao conjurador saltar com o dobro de sua velocidade normal.'
224	0xe0	0x1cc3	b'SEM MAGIA'
225	0xe1	0x1ccc	b'O conjurador pode atravessar muitos objetos, monstros e outros jogadores em particular.'
226	0xe2	0x1d1c	b'O conjurador pode definir uma "ancora" no mundo ou transportar-se instantaneamente para uma "ancora" definida anteriormente.'
227	0xe3	0x1d7a	b'Protege o conjurador tornando-o mais dificil de ser atingido em combate corpo a corpo.'
228	0xe4	0x1dc0	b'Aumenta a resistencia aos efeitos nocivos da magica bruta, fogo, gelo, choque ou veneno.'
229	0xe5	0x1e16	b'Diminui o atributo Velocidade do alvo.'
230	0xe6	0x1e43	b'Aumenta o atributo Velocidade do alvo.'
231	0xe7	0x1e70	b'Aumenta o atributo Forca do alvo.'
232	0xe8	0x1ea0	b'SEM MAGIA'
233	0xe9	0x1ea9	b'SEM MAGIA'
234	0xea	0x1eb2	b'SEM MAGIA'
235	0xeb	0x1ebb	b'SEM MAGIA'
236	0xec	0x1ec4	b'SEM MAGIA'
237	0xed	0x1ecd	b'SEM MAGIA'
238	0xee	0x1ed6	b'SEM MAGIA'
239	0xef	0x1edf	b'SEM MAGIA'
240	0xf0	0x1ee8	b'Permite ao conjurador respirar debaixo d'agua. [NAO E UMA MAGIA; APENAS ITEM MAGICO]'
241	0xf1	0x1f2e	b'Restaura uma certa quantidade de pontos de magia. [NAO E UMA MAGIA; APENAS ITEM MAGICO]'
300	0x12c	0x1f78	b'Fim das Descricoes de Magias'
301	0x12d	0x1f8f	b'DESCRICOES DE POCOES'
302	0x12e	0x1fa3	b'Invoca um monstro aleatorio para atacar uma criatura que nao seja o usuario ou sua equipe.'
303	0x12f	0x1ff2	b'Detecta magias de acao retardada ou magias disparadas dentro do alcance do usuario.'
304	0x130	0x2036	b'Aponta para a criatura ou monstro mais proximo que nao seja da equipe do usuario.'
305	0x131	0x2078	b'Permite ao usuario ver todas as criaturas invisiveis.'
306	0x132	0x20a8	b'Torna o usuario completamente invisivel. Dura por um determinado periodo ou ate que o usuario seja atingido.'
307	0x133	0x2102	b'SEM POCAO'
308	0x134	0x210c	b'SEM POCAO'
309	0x135	0x2116	b'O usuario cai a uma velocidade lenta e segura e nao sofre danos de quedas. Dura por um determinado periodo.'
310	0x136	0x2171	b'Inflige dano ao usuario ate que o efeito termine. Gratuitamente prejudicial ao usuario.'
311	0x137	0x21c2	b'Inflige dano por veneno ao usuario ate que o efeito expire ou o efeito de Curar Veneno. Gratuitamente prejudicial ao usuario.'
312	0x138	0x222b	b'Causa alteracoes aleatorias nos movimentos e acoes de combate do usuario. Gratuitamente prejudicial ao usuario.'
313	0x139	0x2285	b'Drena Atributos ou Pontos de Vida de um alvo e os transfere para o usuario.'
314	0x13a	0x22d1	b'Inflige dano ao usuario. Gratuitamente prejudicial ao usuario.'
315	0x13b	0x230c	b'O usuario pode dissipar uma magia de uma lista de todas as magias no conjurador e nas proximidades imediatas.'
316	0x13c	0x2365	b'As magias no usuario podem: 1. atingir normalmente, 2. refletir de volta, ou 3. refletir em uma direcao aleatoria.'
317	0x13d	0x23c6	b'O usuario tem a chance de resistir a qualquer magia, alem de sua resistencia normal contra magia.'
318	0x13e	0x241b	b'O usuario tem a chance de absorver pontos de magia de uma magia recebida, evitando seus efeitos.'
319	0x13f	0x246f	b'Inflige dano ao usuario. Gratuitamente prejudicial ao usuario.'
320	0x140	0x24aa	b'A aura de fogo ao redor do conjurador inflige o dobro do dano sofrido pelo usuario ao atacante.'
321	0x141	0x2501	b'Cura qualquer veneno no corpo do usuario e restaura todos os atributos afetados pelo veneno.'
322	0x142	0x2551	b'Cura uma certa quantidade de pontos de vida.'
323	0x143	0x2577	b'Permite ao usuario saltar com o dobro de sua velocidade normal.'
324	0x144	0x25a5	b'SEM POCAO'
325	0x145	0x25af	b'O usuario pode atravessar muitos objetos, monstros e outros jogadores em particular.'
326	0x146	0x25fd	b'O usuario pode definir uma "ancora" no mundo ou transportar-se instantaneamente para uma "ancora" definida anteriormente.'
327	0x147	0x2659	b'Protece o usuario tornando-o mais dificil de ser atingido em combate corpo a corpo.'
328	0x148	0x269d	b'Aumenta a resistencia aos efeitos nocivos da magica bruta, fogo, gelo, choque ou veneno.'
329	0x149	0x26f3	b'SEM POCAO'
330	0x14a	0x26fd	b'SEM POCAO'
331	0x14b	0x2707	b'SEM POCAO'
332	0x14c	0x2711	b'SEM POCAO'
333	0x14d	0x271b	b'SEM POCAO'
334	0x14e	0x2725	b'SEM POCAO'
335	0x14f	0x272f	b'SEM POCAO'
336	0x150	0x2739	b'SEM POCAO'
337	0x151	0x2743	b'SEM POCAO'
338	0x152	0x274d	b'SEM POCAO'
339	0x153	0x2757	b'SEM POCAO'
340	0x154	0x2761	b'Permite ao usuario respirar debaixo d'agua.'
341	0x155	0x2785	b'Restaura uma certa quantidade de pontos de magia.'
400	0x190	0x27b0	b'Fim das descricoes de pocoes'
401	0x191	0x27c8	b'Poderes de Itens Magicos do Criador de Personagens'
402	0x192	0x27ea	b'Produz a conjuracao de Dano Menor por Fogo'
403	0x193	0x2814	b'Concede o poder de Escudo Menor'
404	0x194	0x2836	b'Concede o poder de Dano Magico Menor'
405	0x195	0x285e	b'Produz a conjuracao de Cura de Vida Menor'
406	0x196	0x2888	b'Concede o dom de Invocacao Menor de Monstros'
407	0x197	0x28b4	b'Produz a conjuracao de Dano Menor por Gelo'
408	0x198	0x28df	b'Produz a conjuracao de Dano Menor por Veneno'
409	0x199	0x290b	b'Produz a conjuracao de Dano Menor por Choque'
410	0x19a	0x2936	b'Produz a conjuracao de Dano Continuo Medio a vitima'
411	0x19b	0x2975	b'Concede o poder de Dano Atrasado Menor'
412	0x19c	0x299f	b'Concede o dom de Respiracao Aquatica'
413	0x19d	0x29c3	b'Concede o dom de Restaurar Magica'
1000	0x3e8	0x29e5	b'Fim dos Poderes de Itens Magicos do Criador de Personagens'
1001	0x3e9	0x2a0b	b'Evoco-me sobre os telhados abaixo\xfd Dedo erguido para o ceu.\xfd Falo em tons claros\xfd Que visam aos outros\xfd Reunirem-se onde chamo.\xfd'
1002	0x3ea	0x2a8c	b'torre do sino, torre, campanario, torres do sino, torres, campanarios, torre da igreja, templo, santuario'
1003	0x3eb	0x2aef	b'Armadura brilhante\xfd Alva e reluzente\xfd Uma unica fileira\xfd Com rostos em branco\xfd Agora ocultos pela noite\xfd Agora audazes pela luz\xfd Vermelho vivo a terra\xfd Onde os soldados estao\xfd'
1004	0x3ec	0x2b7f	b'dentes, dente, boca, lingua'
1005	0x3ee	0x2b9b	b'Carregador, Guerreiro\xfd Animoso, Valente\xfd Pes-ligeiros, Ferrado\xfd Fiel, Escravo\xfd'
1006	0x3ee	0x2bec	b'Cavalo, cavalos, ponei, poneis, corcel, destriro, corredor'
1007	0x3ef	0x2c22	b'Alguns vivem em mim, alguns vivem sobre,\xfd E alguns me raspam para caminhar por cima.\xfd Raramente deixo minha terra natal.\xfd Ate minha morte permaneco em pe.\xfd Alto e baixo posso ser encontrado\xfd Tanto acima quanto debaixo do chao.\xfd'
1008	0x3f0	0x2ce4	b'Arvore, arvores, tronco de arvore, tronco, madeira, lenha'
1009	0x3f1	0x2d11	b'Tao escuro, sujo, frio este lugar,\xfd Para ficar voce se absteria\xfd No entanto, aqueles que ocupam este lugar\xfd Nunca se queixam\xfd'
1010	0x3f2	0x2d82	b'tumulo, sepultura, cripta'
1011	0x3f3	0x2d95	b'O presente que sua mae lhe da,\xfd Embora apreciado por todos, seja longo ou curto,\xfd Demais dele o mata todas as vezes.\xfd'
1012	0x3f4	0x2e0d	b'Vida, folego, respiracao, viver'
1013	0x3f5	0x2e2d	b'Qual foi a visao que meus olhos presenciavam\xfd Quando vi os mortos carregando os vivos?\xfd'
1014	0x3f6	0x2e7f	b'um navio, barco, barco a remo, embarcacao, vaso, bote, escuna'
1015	0x3f7	0x2eb3	b'Dizemos que algumas coisas melhoram com a morte.\xfd O que fede quando vivo, mas morto cheira bem?\xfd'
1016	0x3f8	0x2f0b	b'Porco, porco gordo, suino'
1017	0x3f9	0x2f1b	b'Quem o faz nao precisa nem o quer.\xfd Quem o compra nao o usa nem o veste.\xfd Quem o usa nao o ve nem o sente.\xfd'
1018	0x3fa	0x2f95	b'Caixao, urna'
1019	0x3fb	0x2fa4	b'[[Um vitral retrata, de um lado, muitas pessoas trabalhando duro, sobrecarregadas com grandes cargas e sofrendo as agonias da guerra e da morte. Do outro lado, as pessoas deixam suas fardas e sao transfiguradas por uma luz verde resplandecente que as despoja de suas vestes rasgadas e sujas e as deixa em um esplendor perfeito de corpo e espirito. Abaixo da janela ha uma inscricao simples:]] O CAIRN DAS ALMAS\xfd Uma vez eles lutaram, martelaram, choraram\xfd Lutaram por justica, honra, orgulho.\xfd Agora do tempo e da mare libertados\xfd Eles guardam e servem em paz silenciosa\xfd'
1020	0x3fc	0x31d3	b'[[Uma longa inscricao identifica um dos retentores do Mestre que veio ao Cairn das Almas para morrer e renascer em seu Servico Eterno.]]'
1021	0x3fd	0x325e	b'[[Voce ve imagens de cinco caixoes, cada um com um curto verso. Cada tampa de caixao mostra uma unica palavra:]]\xfc Primeiro caixao: TUMULO\xfc Segundo caixao: VIDA\xfc Terceiro caixao: BARCO\xfc Quarto caixao: PORCO\xfc Quinto caixao: CAIXAO\xfc'
1022	0x3fe	0x3329	b'Honra sagrada, amor leal, servico eterno.'
1023	0x3ff	0x3354	b'A Alma Serve o que Nunca Morre O Santo que Salvou a Todos Nos'
1024	0x400	0x3390	b'Genio e Poder passam. Paz e Constancia triunfam.'
1025	0x401	0x33c7	b'Ajuste meus remos e meu barco, Pois passarei na companhia de amigos e amantes.'
1026	0x402	0x341d	b'Assim eu me esquivo dos vermes de seu pilhagem injusto.'
1027	0x403	0x3450	b'Eu era, e nao era, e fui novamente para sempre.'
1028	0x404	0x347a	b'Nem profeta nem lucro, passamos de maos vazias para a luz.'
1029	0x405	0x34bb	b'Nestes mundos alem do sol nenhuma escuridao esconde a margem distante.'
1030	0x406	0x34ff	b'Nos fizemos, e fazemos, e faremos. As gentis flores do sol triunfam sobre o tumulo.'
1031	0x407	0x355d	b'Pobre Alex... exportado desta vida.'
1032	0x408	0x3586	b'Quadrille Pig entregou a alma.'
1033	0x409	0x35aa	b'Diga o seu destino. Fale e tenha certeza, pois o erro e fatal.'
1034	0x40a	0x35ea	b'Sombra Perigosa'
1035	0x40b	0x35f9	b'Bom trabalho! O Battlespire foi destruido. Pelo lado positivo, ele nao pode mais ser usado pelos Daedra para seus proprios fins sordidos. Pelo lado negativo, tanto ele quanto voce estao agora fadados a vagar infinitamente pelo vacuo frio e escuro onde nao ha muito o que fazer, comer ou qualquer coisa, exceto morrer uma morte longa e dolorosa. Gostaria de tentar novamente?'
1036	0x40c	0x3751	b'Infelizmente voce desfalece em uma masmorra, esquecido e ignorado, com a duvidosa consolacao de que sua substancia nutrira os vermes estridentes de cauda longa que sao seus companheiros finais.'
1037	0x40d	0x3810	b'Fiel a sua palavra, Faydra Shardai torna sua substancia a prova do tempo, o que significa que voce estara consciente durante a eternidade de tormento que ela planejou para voce. E suas recompensas de fato nao sao menores do que as dos mais ousados de seus tenentes - os tenentes ousados que se atrevem a desafiar sua autoridade, os tenentes ousados que compartilham sua miseria e desespero sem fim.'
1038	0x40e	0x3987	b'Saiba que esta e uma das cinco grandes Ancoras que prendem o Battlespire em seu lugar e o mantem no fluxo de Mana sustentador, sem o qual nao haveria luz, nem vida, nem Ser.\xfc Em sua sabedoria excessiva, a Administracao exigiu que eu, contra cada protesto e reclamacao minha, afixasse a ela um dispositivo terrivel, que voce ve diante de voce, cujo proposito e separar e dividir esta ancora e colocar em perigo o Spire e todos os que o habitam.\xfc Nunca divida a Ancora. E a rocha sobre a qual todas as nossas vidas se fundam. Todas as Ancoras devem ser conjugadas para garantir a seguranca e a estabilidade do Spire.\xfc Acima de tudo, nunca, nunca, nunca permita que todas sejam soltas. A destruicao certa se seguira, conforme o Battlespire deixa o fluxo que mantem todos os lados da natureza em unidade. Agora va embora, e saia desta camara, para que o demonio da tentacao, ou algum humor infeliz o supere, e o leve para o caminho da aniquilacao certa.\xfc C.V.'
1039	0x40f	0x3d3b	b'Mecanismo de Abertura do Alojamento da Gale Estelar\xfc A operacao sem Permissao de Sua Honra,\xfc O Veneravel Artifice, e Expressamente Proibida\xfc Olhe para este Dispositivo e Seus Trabalhos Sutis, e Trema de Espanto!\xfc Pela graca e dons de Clarentavious Valisious, assim a Gale Estelar e Mantida Firme e Segura por Ele.\xfc'
1040	0x410	0x3e70	b'A Falsa Tartaruga se apresenta como membro da rara especie de Grande Tartaruga da qual e feita a famosa Sopa de Falsa Tartaruga, a Sopa dos Reis. "Sente-se e nao diga uma palavra ate eu terminar. Uma vez," disse a Falsa Tartaruga com um suspiro profundo, "eu fui uma Tartaruga de verdade." A Falsa Tartaruga relata uma historia tragica e longa sobre ir a escola no mar, e sobre seus estudos nas disciplinas obscuras do Quadriva Arithmetia - Ambicao, Distracao, Feiura e Derisao -- e os cursos de instrucao em Misterio, antigo e moderno, com Marografia, Desenho, Alongamento, Desmaio em Espirais, Riso e Magoa. Finalmente, quando fica claro que sua historia nao tem sentido, voce fica impaciente. "Oh, querido," disse a Falsa Tartaruga. "Receio ter te entediado. Voce foi tao gentil em ouvir os divaneios de um reptil antigo... por favor diga meu nome ao contrario onde for fazer mais bem, aceite como um sinal de minha gratidao um produto de minhas pesquisas no campo da Ontologia Especulativa."'
1041	0x411	0x425e	b'Com que direito voce passaria por aqui?'
1042	0x412	0x4281	b'O Gerente de Dagon Governa Aqui, Gerente de Dagon Governa Aqui, Dagon Governa Aqui'
1043	0x413	0x42ce	b'Embora o caminho reto seja o correto\xfc Para a maioria dos caminhos, eu descobri,\xfc O melhor caminho as vezes e\xfc De outra forma.\xfc'
1044	0x414	0x433b	b'eltrut kcom, meu nome ao contrario, Falsa Tartaruga ao contrario'
1045	0x415	0x4371	b'Esta e a armadura amaldicoada que usei quando desafiei Dagon. Nao e uma cota de malha comum, mas um servo cativo de Malacath, e a marca do trapaceiro esta nela, pois me levou a loucura. \xfc Ate onde me lembro, e chamada de Pele do Salvador e o Flagelo do Quebrador de Juramentos e que ela fique pendurada aqui fora do meu alcance, pois eu gostaria de nunca te-la usado.\xfc'
1046	0x416	0x44cc	b'Ha uma curta inscricao em algum tipo de cifra, seguida por estas linhas:\xfc Lanca da Misericordia Amarga\xfc Relampago na mao\xfc Minha ponta morde fundo\xfc Eu encerro a cacada\xfc Ate os mais poderosos sao desfeitos pelo meu toque.\xfc'
1047	0x417	0x459b	b'jaeger, a senha e jaeger'
1048	0x418	0x45ba	b'Com que direito voce passaria por aqui?'
1049	0x419	0x45dd	b'O Gerente de Dagon Governa Aqui, Gerente, Dagon'
1050	0x41a	0x460b	b'O Portao esta Selado.'
1051	0x41b	0x461f	b'djemekweh, djeh meh kweh, jeb meht quam'
1052	0x41c	0x4647	b'Dentro estao minhas manoplas, que elas enferrujem aqui para todo o sempre. Se algum tolo as quiser, deve pronunciar meu nome.'
1053	0x41d	0x46b3	b'Sua Majestade Imperial, o Grande Chefe do Escritorio de Pesquisa de Material Belico de Todos os Anoes, Lancadores de Minas, Afrits e Lancadores de Pedras, Segundo Subsecretario Declara Que Este E Um Ponto de Triangulacao Correto e Preciso Conforme Demonstrado Neste Terceiro Dia do Dia do Juizo Pelo Terrivel e Incontrovertivel Afundamento De Um Navio de Linha Com Todos Os Homens e Equipamentos e a Lamentavel Perda Adicional De Uma Baleia Franca Por Meio do Dispersar Inesperado dos Estilhacos do Firmamento Precisamente Nove Dezesseis Avos de uma LLegua a Sul Deste Ponto e Onze Dezesseis Avos de uma LLegua do Motor de Lancamento. '
1054	0x41e	0x490e	b'A Postagem da Cacada.\xfc Que nenhum homem diga diante de uma testemunha que a Cacada nao foi chamada, nem os Ritos declarados, ou os Oficios Antigos observados.\xfc O Cacador e seus Caes perseguirao e acossarao a Lebre conforme o ritual exige.\xfc A Cacada comeca diante dos reflexos de cristal verde da Capela da Pedreira Inocente. A Lanca da Misericordia Amarga e exibida, os Oficios da Cacada sao recitados: o Arrasto, a Perseguicao, o Chamado e a Visao para o Abate. \xfc'
1055	0x41f	0x4adc	b'O Arrasto e para os Caes Menores, para assustar a Lebre. \xfc A Perseguicao e para os Caes Maiores para conduzir a Lebre diante deles. \xfc No Chamado, os Caes Maiores encurralam a Lebre e convocam os Cacadores para o abate, com a Lanca da Misericordia Amarga. \xfc Por ultimo e a Visao. O Cacador toca o sino para chamar o Mestre para ver seu abate. \xfc Entao a recompensa e concedida, e o cacador vitorioso chama a nova Cacada.\xfc Nomear uma Cacada Selvagem e de fato um direito grande e grave. Todos, exceto os Altos Senhores Daedra, sao presas da potente Lanca da Misericordia Amarga. E uma arma terrivel e nao deve ser removida dos Terrenos da Cacada Ritual. \xfc'
1056	0x420	0x4d50	b'A Lebre e concedida uma pequena chance de fuga.\xfc Seis chaves nos terrenos podem abrir o caminho para o Templo Chifrado e fugir para escapar do Cacador e de sua Lanca.\xfc Embora nenhuma Lebre tenha feito isso, as formas devem ser observadas. Enganar a Lebre privando-a das chaves e uma traicao imperdoavel da Lei da Cacada. \xfc'
1057	0x421	0x4e7e	b'No Ritual da Cacada, os Cacadores estao protegidos de todo mal, de todas as armas e de feiticarias de todos os tipos. Sabio e o cacador, no entanto, que teme a picada de sua propria Lanca, pois um unico toque da Lanca da Misericordia Amarga significa a morte tanto para a Lebre quanto para o Cacador.'
1058	0x422	0x4f94	b'Sua vida e poupada e voce e honrado por um tempo por seus captores. No entanto, o Lorde Dagon o coloca em uma cela de prisao, onde voce vive seus dias em idas ociosas e cansativas. Todas as perguntas sobre o destino do seu companheiro sao ignoradas. No final, voce finalmente sucumbe a doenca, a velhice e ao desespero, e seus ossos se tornam um parque de diversoes para os vermes da masmorra.'
1059	0x423	0x50f8	b'A boa noticia e que voce ainda esta vivo. A ma noticia e que voce se encontra em uma cela de masmorra fria e umida. A boa noticia e que a comida nao e tao ruim. A ma noticia e que voce envelhece e morre no cativeiro sem nunca ver outra alma viva.'
1060	0x424	0x51f5	b'Voce se esqueceu de pronunciar o nome do seu destino nos Portoes de Esmeralda. Em consequencia, voce e transportado para o Vazio. A boa noticia e que a experiencia nao e instantaneamente fatal. A ma noticia e que nenhum meio mundano ou arcano pode resgata-lo, e nao ha nada para fazer e nada para comer. Voce tem muito tempo para refletir sobre o erro fatal que lhe custou a vida.'
1061	0x425	0x5379	b'Como o Boi Gira ao Lavrar'
1062	0x426	0x5394	b'boustrophedon'
1063	0x427	0x53a2	b'Oh, querido. Aparentemente voce negligenciou o uso de alguma parte da Armadura da Pele do Salvador. Felizmente, voce foi apenas ligeiramente morto, e um Mehrunes Dagon de raciocinio rapido salvou sua vida, permitindo que voce mofasse pelo resto dos seus dias apodrecendo em uma cela de masmorra, divertindo a vida selvagem de detritos com historias de sua astucia e proeza.'
1064	0x428	0x54e5	b'Nunca vigiado pela luz do dia\xfd Nunca vigiado pela noite\xfd Mas a estrela da tarde vigia frequentemente e bem\xfd Entre o negro e o brilhante\xfd'
1065	0x429	0x5558	b'crepusculo, por do sol'
1066	0x42a	0x5565	b'Bom trabalho. Voce desbloqueou TODAS AS CINCO ancoras que mantem o Battlespire no lugar.\xfc Conforme o Battlespire se afasta das correntes de mana, as forcas que prendem sua arquitetura se soltam. Isto e uma Coisa Ruim. Voce fica Triste, mas apenas brevemente.'
1067	0x42b	0x564a	b'TREINAMENTO DE INTELIGENCIA'
1068	0x42c	0x5660	b'Caro Ocupante:\xfc Lamentamos informar que voce falhou no seu exame preliminar de Inteligencia.\xfc Apenas um verdadeiro tonto mergulharia em um buraco profundo sem providenciar uma ancora de teletransporte. Heh-heh.\xfc Tenha um bom dia. Ou dois.'
1069	0x42d	0x5742	b'Por Ordem do Almirante do Porto\xfc Em consequencia da Precipitacao Gratuita e Ilegal do Vice-Sargento Chimere nas ruas de Granvellusa, este Motor Infernal e Havia de ser Proibido sob os Atos de Inconveniencia Perigosa.\xfc Se este dispositivo for necessario para Defesa Costeira, consulte no chale do Vice-Sargento Chimere da Milicia Costeira sobre o Cantrip que pode Soltar sua Vinculacao Legal.\xfc Guiller Hornpill\xfc Secretario do Almirante\xfc'
