		Herne Oathkin					file MA6T.xls			Mastema Boxers Talk		
			MA6A6B	&WarAxe			Eu disse-te. E facil. Ele nunca soube o que o atingiu. - Entao? - O que e agora? Queres ir limpar o resto destes repteis?	MA6A71				
			MA6A6C	&Dagger			- Olha. Um erro honesto. Esta escuro aqui. Ele comecou. Tenho um velho problema com o ouvido interno, as vezes estraga o meu equilibrio, confunde-me. - Acidente. Nao queria magoa-lo. Eu so... bem... tu sabes... escorreguei. E lancaram um feitico sobre mim, sim. - E isso. Um feitico. Nao pude evitar.	MA6A81				
	MA6A71	Talvez por um tempo os nossos caminhos se entrelacem, Manling. Nao penses que vou esquecer o Egahirn. Mas ha muito tempo para essa contabilidade. Por agora, vamos tratar daqueles repteis verdes, que se lancam, sim?	MA6A7A	TRUE			Depois de ti, minha querida.	END	PCTeam			
	MA6A81	- Eu entendo. - Foi um acidente. Acontecem sempre. Na verdade, acho que um acidente muito grave esta prestes a acontecer aqui.	MA6A8A	TRUE			- Nao. Tu tambem, nao e? Tens um toque da velha vista, certo? Ves o futuro a chegar, nao e? Viste... Cuidado! Atras de ti! Ele tem um machado. - Nao, nao. Vale a pena tentar.	END	MonsterAttack	&HerneMad		
							
	MA6A91	A Lady Faydra foi-se. Ja nao sinto a emocao dela no meu coracao. Nao, nao pode ser que tenhas alguma coisa a ver com isso, pois nao, Manling?	MA6A9A	TRUE			- Nao. - Claro que sim. - Fui eu. - Nao. Acabei de atirar a Senhora onde as estrelas nao brilham. E boa sorte. Velha bruxa ma.	END	MonsterAttack	&HerneMad		
			MA6A9B	TRUE			Desculpa desaponta-lo, mas nao tenho esse tipo de musculo. E perder a Senhora tambem me deu umas formigas no jantar, rapaz. Tinhamos planos para cozinhar. - Entao? Estava a pensar em ir la e magoar o Xivilai e o bando dele. Estas pronto para isso?	01-50: MA6A01 51-00: MA6B11				
	MA6A01	Talvez tenha feito o Faydra, e talvez nao. Nao importa para mim, agora. Estamos so nos e os nossos assuntos pessoais. E e hora de pagar pelo que fez ao meu Oathkin, Egahirn.	MA6A0A	TRUE			Isso e historia antiga. Mas vejo que te incomoda. - Esta bem. - Esta bem. Vamos tratar de assuntos inacabados.	END	MonsterAttack	&HerneMad		
	MA6B11	As coisas estao um pouco confusas agora, Manling. Acho que vou ficar aqui sentado, a ver para onde sopra o vento. Entao talvez seja melhor uma tregua temporaria. Se fores simpatico, eu tambem serei. E mais tarde, quando as coisas acalmarem, vem ver-me e teremos uma conversa agradavel.	MA6B1A	TRUE			Nao posso prometer nada. Mas estou um pouco exausto por partir os torsos e arrancar os bracos. Entao vamos ambos respirar um pouco.	END	PCTeam			
												
												
	MA6B21	Os olhos dele brilham de furia, mas ele nao diz uma palavra.	MA6B2A	TRUE				END				
	MA6B31	Ele te considera como um pouco mais do que o que tu pensas.	MA6B3A	TRUE				END				
	MA6B41	Que vos observa,	MA6B4A	TRUE				END				
							
	MA6B61	Meu Deus! O que e que temos aqui? Um macaco? Um mago de batalha em forma de burro? Um manequim animado para o nosso desporto? Se fosse um homem, teriamos de o deixar em paz, pois sao ordens da minha senhora. Mas certamente, nao pode ser o homem, por isso podemos usa-lo para as nossas piadas.	MA6B6A	TRUE			- A serio? - Sim. Nao me reconheces? - Nao. - Eu entendo. Se e assim que queres jogar, esta-me bem.	END	MonsterAttack	&HerneMad		
