		Frost Daedra					file Ft1T.xls			Frost Daedra1		
	FT1B41	Servem o nosso Senhor Mehrunes Dagon atraves da corte do Grao-Vizir, Imago Storm.	FT1B4A	TRUE			O que e que esta tempestade Imago esta a tramar?	FT1B51		&StormName		
	FT1B51	Ele controla os detalhes da invasao, para que o nosso Senhor Mehrunes Dagon possa ser livre para pensar em pensamentos maiores.	FT1B5A	TRUE			O Imago e leal a Dagon?	FT1B61				
	FT1B61	Que pensamentos estranhos voces mortais podem ter. Todos sao leais ao nosso Senhor Mehrunes Dagon. Agora vai e destroi o intruso Daedra de Fogo!	FT1B6A	TRUE			Obrigado pela sua sabedoria e generosidade. - Adeus. - Adeus.	END		&FrostPal		
	FT1B71	O gigante de gelo ignora a sua tentativa de falar com ele.	FT1B7A	TRUE				END				
	FT1B81	[Nao se pode falar.]	FT1B8A	TRUE				END				
												
												
												
												
												
												
												
												
												
