		Jaciel Morgen					file JM1T.xls			Jaciel Morgen Talk		
	JM1A01	- Nao. Deyanira. O seu anseio nao cessara mesmo diante da perda esmagadora. Como ela e mortal. Eu podia... mas nao. O pensamento de suas lagrimas e quase suficiente para sacudir este manto de angustia dos meus ombros. Quase. Mas nao o suficiente. Nao, a unica alegria que me resta agora e o pensamento de que os Nocturnais acoitarao o Dagon ate que a magia goteje em riachos das suas orbitas ocultas. Gemeos para as lagrimas que nao consigo chorar. - Adeus. - Adeus.	JM1A0A	TRUE			Nao te podes livrar de mim tao facilmente...	JM1B11				
			JM1A0B	TRUE			Mesmo que nao queiras ajudar-te, pelo menos ajuda-me a sair daqui!	JM1B11				
	JM1B11	Adeus, mortal egoista.	JM1B1A	TRUE			Mas certamente isto e bastante excessivo. Quer dizer, es uma grande Dama Daedra. Onde esta o teu orgulho? Vais deixar que aqueles cabecas de carneiro te empurrem...	JM1B21				
			JM1B1B	TRUE			- Olha. As coisas estao a correr mal aqui, Senhora, caso nao tenha reparado. Este lugar esta cheio de bandidos de fogo e gelo a fazerem-se confortaveis na vossa casa. Vais sentar-te e...	JM1B21				
			JM1B1C	TRUE			Tudo o que preciso de si, Senhora, e uma passagem para sair daqui. Prometo que vou tratar do Dagon e das coisas dele para que eu mesmo faca um pequeno arranque de ceu e divida a terra, se me deixar...	JM1B21				
	JM1B21	Deixa-me, mortal. As tuas miserias nao sao minhas.	JM1B2A	TRUE			Esta miseria e tua, certo? A tua fiel amiga Deyanira diz que vai morrer se nao regressares a governar.	JM1B31				
	JM1B31	Ela nao vai morrer. Os imortais nao podem morrer. Agora vai-te embora, mortal.	JM1B3A	TRUE			- Sim, sim, sim. Para que ela nao possa morrer. Mas ela esta muito preocupada contigo.	JM1B41				
			JM1B3B	TRUE			Nao es melhor do que o resto da daedra, tao mimada, egocentrica e auto-indulgente. Como um bebe. Sabes o que e um bebe? Um pequeno homem indefeso.	JM1B41				
			JM1B3C	TRUE			- Esta bem. Eu vou. Mas esta a cometer um grande erro. - Nao, nao. E melhor voltar e conversar com a Deyanira. Talvez ela possa falar com algum senso para este teimoso exagerado.)	END				
			JM1B3D	TRUE			- Olha. Nao me obrigues a fazer algo precipitado. Posso nao parecer muito, mas tenho batido em Daedra como se fosse bateria. Estou a ficar desesperado, e os mortais desesperados estao cheios de surpresas feias.	JM1B41				
	JM1B41	Deixa-me com a minha doce melancolia.	JM1B4A	TRUE			- Esta bem. - Esta bem. Tenho coisas melhores para fazer. Mas nao penses que ja ouviste o ultimo de mim. (Isso nao foi um grande sucesso. Talvez a Deyanira tenha uma ideia brilhante.)	END		&JacielScram		
	JM1B51	Nao tenho mais nada a dizer-lhe.	JM1B5A	TRUE			E o que pensas, tu...	JM1B71				
	JM1B61		JM1B5B	&SoulDagger			Nao sei exactamente como te dizer isto, mas... Bem... talvez seja melhor dares uma olhada nesta adaga. Ela disse... Deyanira...	JM1B81				
	JM1B71	- Adeus. - Adeus.	JM1B7A	TRUE			Tu...	END				
	JM1B81	- Nao, nao. Ela foi-se! - Foi-se embora! Devia arrancar-te o coracao batendo e forca-lo a come-lo em pequenas mordidas, uma mordida batendo a cada seculo! Devia esfolar a pele do teu corpo e atirar o teu cadaver vivo ao mar das minhas lagrimas salgadas.	JM1B8A				Tu e que exercito das trevas?	END	HealthHalf AND PainSFX 	&JacielMad		
			JM1B8B	TRUE			Ela fez-o por ti.	JM1B91				
			JM1B8C	TRUE			Encontraste algumas lagrimas?	JM1B91				
	JM1B91	Tu, mortal, nenhum destino tao lento, nenhuma dor tao lacrimosa,	JM1B9A	TRUE			Nada que facas a trara de volta. Ela voltara no seu tempo, pelo que sei sobre ti, Daedra. E durante todo esse tempo doce, podes pensar em como pouco te importavam com ela, e como te sentirias sozinho sem ela, e o quanto ela estava disposta a fazer por ti, quando tu nao fazias nada alem de fazer chiado e solucar.	JM1B01				
	JM1B01	O que dizes... talvez seja verdade. E justo demais. - Mas... - Nao. Seu Bastardo! Enganaste-a para isto, para servir aos teus proprios fins egoistas!	JM1B0A	TRUE			Nao, nao. Foi ideia dela. Nao tenho o tipo de visao que ela tem. Ou carater. - Eu admito. Mentiria como um tapete para salvar a minha pele. Mas nao tenho imaginacao para pensar em algo como ela. E nunca me ocorreria que ela o fizesse de livre vontade. Na verdade, lamento. E envergonhado. Que a ajudei a fazer isto.	JM1C11				
	JM1C11	Talvez eu possa entender. Es um mortal. E os mortais veem as coisas de forma diferente. Um mortal nunca deve arrepender-se, nunca sentir vergonha, pelo que faz para salvar a sua vida.	JM1C1A	TRUE			Normalmente, concordo contigo de todo o coracao. Mas nao e assim que me sinto agora. - Olha. Ela nao esta realmente morta, pois nao?	JM1C21				
	JM1C21	A Daedra nao morre realmente. Nao como tu conheces a morte. Mas podemos sacrificar-nos ao esquecimento. Como ela fez. O esquecimento e a existencia e a autoconsciencia sem a capacidade de ver, ouvir ou afetar o mundo. Para um imortal e o inferno, dor e horror indescritiveis, perda absoluta. Eventualmente, voltamos. Mas nem todos voltam como eram. Ha doenca. - E loucura. - Troca.	JM1C2A	TRUE			- Desculpa. - Nao. Espero que a Deyanira esteja bem. Ela tem um espirito forte, se isso e importante.	JM1C31				
	JM1C31	E estranho, mas sinto o teu conforto, mortal. Tem tanto a perder, coisas da carne, e ainda assim nao desesperam. Um misterio intrigante.	JM1C3A	TRUE			- Sim, e verdade. A minha carne tem muito a perder. E outro, um amigo intimo, tambem esta em perigo. Por favor, ajuda-me. Como posso sair deste lugar?	JM1C41				
	JM1C41	Todos os outros portais estao selados, mas ha uma porta dos fundos. Para norte, tem de atravessar as Velas de Rocha para um portal menor, que o levara a Sala dos Feiticeiros e ao Portal. Quatro ancoras ligam as forcas magicas, soltem estas ancoras e o portal esta pronto. Para norte ha uma porta. Diz "djemekweh" para entrar. Quando chegar ao portal final, terei tempo de abri-lo para o seu uso. Mas os Dagon fecharam a passagem de todos os destinos, exceto aqueles de sua escolha. Tens de ir onde eles te querem.	JM1C4A	TRUE			Nao ter muita escolha e refrescante em momentos como este. Mantem as coisas simples. E acredito que devo ir para onde os Dagon pensam que me querem. Vou ter a certeza de que tenho muitas surpresas para eles quando chegar.	JM1C51				
	JM1C51	A sua astucia brilha com um brilho que anseia por retribuicao. Na luz mais brilhante ou na escuridao mais escura, somos igualmente cegos. Talvez eu te deva alguma coisa. Ou devo-o a mim e ao meu orgulho. Mas se no fim tiveres de comparecer perante Dagon, chama-me. Vou usar-te como um elo para viajar, e pode ser que ate os meus modestos poderes possam ser uma das tuas pequenas surpresas para ele.	JM1C5A	TRUE			Nao penses que nao te ligo. Vou precisar de muitas surpresas e muita sorte. Adeus, entao, e obrigado.	JM1C61				
	JM1C61	So um olhar antes de ires, mortal. Fica comigo um momento.	JM1C6A	TRUE			Desculpe, mas tenho de ir. E para de olhar para mim assim. Estas a deixar-me nervoso. Adeus, e boa sorte.	END	Teleport_0	&JacielFree		
			JM1C6B	TRUE			- Claro que sim. - Nao, nao. Tome-se um banquete, minha senhora. Nao tenho muito mais para te dar.	JM1C71				
			JM1C6C	TRUE			Em memoria de Deyanira, vou ficar contigo por pouco tempo, belo Jaciel. Entao, tenho de ir.	JM1C71				
	JM1C71	- Nao. Tao fraca e a luz de uma vela. Desmaiou e esta a piscar tanto! Mas, de fato, esta fraca luz dos mortais pode iluminar o ceu. Oh, mas eu vou lembrar de ti. E ver-te de novo antes do fim. - Adeus. - Adeus.	JM1C7A	TRUE			- Esta bem. Mas... - Nao, nao. Nao sei o que dizer. E nao tenho a graca de nao dizer nada. Entao, e so adeus.	END	Teleport_0	&JacielFree		
