		Dremora Oathkin					file Dr4T.xls			DremoraTALK		
	DR4B11	E verdade, mas eles foram longe demais e devem ser castigados. Agora que a batalha e nossa, nao precisamos mais de manter esta terra. Mas muitos daedra, servos de Faydra e Xivilai decidiram que esta terra era agora o seu dominio, e permaneceram aqui em vez de continuar para o proximo passo na rota de invasao. Eles devem ser eliminados e a boa ordem restaurada, para restabelecer o equilibrio.	DR4B1A	TRUE			Que ordem e equilibrio seria esse?	DR4B21				
	DR4B21	A ordem a ser restaurada e a ordem dos Nocturnais. Quanto ao equilibrio... Bem, isso e mais sabedoria do que voce requer.	DR4B2A	TRUE			Como vou eliminar todos estes Daedra desonesos?	DR4B31				
	DR4B31	Invoquem os nomes dos seus senhores, e eles se tornarao doceis e cautelosos. Explorem as suas divisoes e eles vao cair como cevada diante da foice.	DR4B3A	TRUE			Como e que isso me leva ao meu amigo?	DR4B41				
	DR4B41	Quem quer libertar o seu amigo tem de obter o segredo da passagem da Sombra Perigosa para a Quimera da Desolacao atraves do fugitivo, o Tenente Nocturno, Jaciel Morgen. Mas eu disse demais. Ninguem pode saber da nossa conversa. Negar-lhe-ei qualquer conhecimento do nosso coloquio. Agora, vai-te embora. Considera-te o mais sortudo de todos os mortais que te consideramos util para o nosso proposito. Porque se os nossos objetivos nao se tivessem alinhado, os ultimos tracos de vapor estariam agora a subir dos teus pulmoes lacereados.	DR4B4A	TRUE			Nunca esquecerei o respeito que me mostraram e a franqueza com que compartilharam os seus objetivos e meios. Prometo-lhe que retribuirei o favor a tempo. - Adeus. - Adeus.	END		&DremoraDone		
			DR4B4B	TRUE			Muito obrigado pela informacao, mas desculpe se me ofendo com as suas ameacas grosseiras e insisto em provar a minha honra no seu corpo com aco frio e bruxaria quente. Em guarda!	END	MONSTERATTACK			
			DR4B4C	TRUE			Agradeco a Vossa Senhoria por tal bondade. Mas diga-me, a quem serve? Quem e o principal motor por tras dos seus esquemas? Nao e o proprio Lorde Dagon?	DR4B51				
	DR4B51	Nao e para voce saber. Tudo o que precisa de saber e que eu e a minha colega Dremora servimos o Senhor Exaltado e Poderoso, Gerente de Dagon, Mehrunes.	DR4B5A	TRUE			- Sim, e verdade. - Nao, nao. Entao, e tudo. - Adeus. - Adeus.	END		&DremoraDone		
	DR4B61	A ousada Dremora e silenciosa e ameacadora.								&DremoraSpeak		
	DR4B71	O Dremora olha para ti significativamente, mas evita de forma puntual reconhecer a tua presenca.]]										
	DR4B81	Se tens algo que valha a pena dizer, diz-no depressa.	DR4B8A	TRUE			Suspeito que e voce que tem algo a dizer, e estou ansioso para ouvir.	DR4A21				
			DR4B8B	TRUE			Nao, nao. Nao tenho nada a dizer, a serio. So te estou a gozar. - Nao. Nao e divertido? - Ate logo.	END	MONSTERATTACK	&DremoraMad		
